Format Version,1.23,Take Name,cam-calib-1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-07 04.19.57.313 PM,Capture Start Frame,246810,Total Frames in Take,51,Total Exported Frames,51,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,"Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4",Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker4,Kinect_cam:Marker4,Kinect_cam:Marker4
,ID,"4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","CEB60","CEB60","CEB60","CB090","CB090","CB090","CB100","CB100","CB100","C7CF0","C7CF0","C7CF0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.984902,0.129258,-0.113400,0.020008,0.412639,0.526688,-0.250532,0.000294,0.403105,0.490500,-0.205106,0.920521,0.409187,0.556605,-0.290034,0.949369,0.390733,0.498433,-0.250702,0.918432,0.447502,0.561206,-0.256505,0.919684,0.402873,0.490551,-0.205317,0.409143,0.556612,-0.289836,0.390826,0.498198,-0.250496,0.447686,0.561384,-0.256699
1,0.008333,0.984904,0.129280,-0.113345,0.020071,0.412643,0.526697,-0.250528,0.000293,0.403107,0.490514,-0.205100,0.920521,0.409194,0.556610,-0.290034,0.949369,0.390739,0.498442,-0.250699,0.918432,0.447505,0.561217,-0.256501,0.919684,0.402870,0.490567,-0.205310,0.409147,0.556619,-0.289833,0.390839,0.498206,-0.250494,0.447689,0.561391,-0.256697
2,0.016667,0.984896,0.129292,-0.113421,0.020001,0.412641,0.526686,-0.250526,0.000292,0.403112,0.490497,-0.205101,0.920783,0.409185,0.556603,-0.290027,0.949152,0.390737,0.498430,-0.250696,0.919121,0.447501,0.561206,-0.256500,0.920427,0.402880,0.490549,-0.205311,0.409140,0.556609,-0.289829,0.390830,0.498197,-0.250492,0.447684,0.561382,-0.256693
3,0.025000,0.984847,0.129211,-0.113970,0.019786,0.412587,0.526659,-0.250528,0.000291,0.403103,0.490460,-0.205101,0.920957,0.409093,0.556587,-0.290017,0.948153,0.390677,0.498407,-0.250680,0.922358,0.447448,0.561173,-0.256533,0.916124,0.402888,0.490523,-0.205325,0.409031,0.556561,-0.289821,0.390740,0.498173,-0.250487,0.447662,0.561371,-0.256700
4,0.033333,0.984838,0.129329,-0.113912,0.019806,0.412596,0.526657,-0.250538,0.000289,0.403115,0.490456,-0.205112,0.920957,0.409098,0.556585,-0.290027,0.948153,0.390693,0.498401,-0.250692,0.922358,0.447449,0.561180,-0.256539,0.916124,0.402892,0.490520,-0.205336,0.409031,0.556563,-0.289829,0.390769,0.498168,-0.250497,0.447663,0.561372,-0.256708
5,0.041667,0.984888,0.129439,-0.113314,0.020042,0.412650,0.526673,-0.250532,0.000295,0.403122,0.490482,-0.205108,0.919364,0.409193,0.556589,-0.290034,0.947463,0.390754,0.498410,-0.250706,0.921612,0.447501,0.561204,-0.256500,0.916638,0.402879,0.490536,-0.205323,0.409146,0.556600,-0.289829,0.390866,0.498176,-0.250495,0.447679,0.561372,-0.256701
6,0.050000,0.984895,0.129324,-0.113377,0.020050,0.412633,0.526685,-0.250528,0.000291,0.403102,0.490499,-0.205101,0.919788,0.409178,0.556599,-0.290032,0.948542,0.390731,0.498427,-0.250698,0.918691,0.447491,0.561208,-0.256502,0.921078,0.402867,0.490552,-0.205313,0.409132,0.556605,-0.289831,0.390831,0.498196,-0.250492,0.447671,0.561379,-0.256696
7,0.058333,0.984879,0.129352,-0.113507,0.019944,0.412622,0.526678,-0.250535,0.000286,0.403105,0.490484,-0.205111,0.921702,0.409155,0.556600,-0.290032,0.950159,0.390721,0.498420,-0.250704,0.920725,0.447477,0.561203,-0.256512,0.922428,0.402878,0.490533,-0.205321,0.409113,0.556603,-0.289837,0.390815,0.498196,-0.250500,0.447653,0.561375,-0.256702
8,0.066667,0.984834,0.129478,-0.113759,0.019898,0.412605,0.526664,-0.250534,0.000277,0.403121,0.490465,-0.205107,0.921702,0.409110,0.556587,-0.290028,0.950159,0.390711,0.498400,-0.250692,0.920725,0.447449,0.561197,-0.256528,0.922428,0.402881,0.490525,-0.205329,0.409029,0.556564,-0.289823,0.390822,0.498187,-0.250500,0.447658,0.561373,-0.256703
9,0.075000,0.984894,0.129174,-0.113584,0.019913,0.412616,0.526673,-0.250537,0.000306,0.403093,0.490482,-0.205112,0.917000,0.409154,0.556596,-0.290034,0.944714,0.390705,0.498423,-0.250703,0.922842,0.447483,0.561185,-0.256520,0.918836,0.402881,0.490537,-0.205327,0.409131,0.556602,-0.289840,0.390761,0.498172,-0.250494,0.447662,0.561375,-0.256708
10,0.083333,0.984904,0.129136,-0.113545,0.019887,0.412614,0.526673,-0.250534,0.000309,0.403085,0.490481,-0.205112,0.921518,0.409158,0.556598,-0.290029,0.950191,0.390701,0.498425,-0.250702,0.915776,0.447485,0.561183,-0.256512,0.919007,0.402870,0.490540,-0.205333,0.409131,0.556604,-0.289832,0.390760,0.498170,-0.250490,0.447667,0.561373,-0.256701
11,0.091667,0.984892,0.129375,-0.113364,0.019978,0.412639,0.526680,-0.250537,0.000294,0.403111,0.490486,-0.205115,0.918683,0.409182,0.556600,-0.290036,0.948030,0.390740,0.498420,-0.250711,0.917512,0.447494,0.561207,-0.256505,0.920259,0.402874,0.490541,-0.205331,0.409134,0.556607,-0.289834,0.390841,0.498185,-0.250503,0.447678,0.561380,-0.256700
12,0.100000,0.984882,0.129424,-0.113386,0.020016,0.412640,0.526674,-0.250532,0.000292,0.403118,0.490482,-0.205108,0.918683,0.409179,0.556591,-0.290033,0.948030,0.390744,0.498412,-0.250704,0.917512,0.447492,0.561204,-0.256504,0.920259,0.402879,0.490533,-0.205316,0.409132,0.556604,-0.289834,0.390849,0.498178,-0.250497,0.447672,0.561374,-0.256702
13,0.108333,0.984891,0.129411,-0.113322,0.020028,0.412649,0.526672,-0.250527,0.000291,0.403120,0.490481,-0.205103,0.919759,0.409193,0.556589,-0.290028,0.948847,0.390752,0.498410,-0.250701,0.917623,0.447502,0.561201,-0.256494,0.920602,0.402878,0.490529,-0.205312,0.409145,0.556600,-0.289829,0.390860,0.498180,-0.250492,0.447683,0.561372,-0.256693
14,0.116667,0.984887,0.129352,-0.113436,0.019978,0.412632,0.526682,-0.250532,0.000287,0.403109,0.490490,-0.205109,0.921064,0.409171,0.556602,-0.290032,0.949662,0.390731,0.498424,-0.250703,0.920006,0.447488,0.561207,-0.256506,0.921626,0.402877,0.490540,-0.205318,0.409125,0.556607,-0.289836,0.390828,0.498197,-0.250499,0.447667,0.561379,-0.256697
15,0.125000,0.984895,0.129255,-0.113479,0.019945,0.412628,0.526688,-0.250528,0.000290,0.403102,0.490496,-0.205104,0.920421,0.409170,0.556609,-0.290026,0.949159,0.390722,0.498434,-0.250698,0.920174,0.447491,0.561206,-0.256504,0.921698,0.402875,0.490550,-0.205321,0.409125,0.556608,-0.289827,0.390813,0.498207,-0.250492,0.447671,0.561380,-0.256691
16,0.133333,0.984901,0.129255,-0.113409,0.020018,0.412640,0.526690,-0.250531,0.000291,0.403108,0.490504,-0.205104,0.920421,0.409188,0.556607,-0.290033,0.949159,0.390735,0.498436,-0.250700,0.920174,0.447503,0.561208,-0.256505,0.921698,0.402876,0.490559,-0.205317,0.409140,0.556609,-0.289832,0.390829,0.498204,-0.250498,0.447688,0.561384,-0.256697
