Format Version,1.23,Take Name,cam-calib-2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-07 04.22.16.693 PM,Capture Start Frame,263536,Total Frames in Take,48,Total Exported Frames,48,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,"Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4",Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker4,Kinect_cam:Marker4,Kinect_cam:Marker4,Unlabeled 1440,Unlabeled 1440,Unlabeled 1440
,ID,"4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","CFE80","CFE80","CFE80","D0090","D0090","D0090","CFE50","CFE50","CFE50","CFE30","CFE30","CFE30","CFFA0","CFFA0","CFFA0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.400905,0.161936,0.893778,0.119221,0.126269,0.577122,0.381215,0.000206,0.112042,0.529420,0.349814,0.982933,0.148220,0.616619,0.401843,0.939408,0.147639,0.549118,0.375109,0.929648,0.097328,0.613385,0.398245,0.975980,0.112088,0.529427,0.349864,0.148122,0.616816,0.401945,0.147601,0.548884,0.374958,0.097419,0.613416,0.398243,-0.253636,0.545503,-0.111341
1,0.008333,0.400938,0.161915,0.893769,0.119204,0.126271,0.577126,0.381213,0.000205,0.112042,0.529426,0.349810,0.982933,0.148223,0.616621,0.401842,0.939408,0.147641,0.549121,0.375105,0.929648,0.097332,0.613388,0.398247,0.975980,0.112088,0.529433,0.349860,0.148126,0.616817,0.401942,0.147601,0.548889,0.374956,0.097423,0.613417,0.398246,-0.253630,0.545503,-0.111340
2,0.016667,0.400926,0.161815,0.893785,0.119259,0.126277,0.577134,0.381201,0.000199,0.112042,0.529441,0.349790,0.986605,0.148234,0.616623,0.401837,0.939975,0.147642,0.549127,0.375090,0.933812,0.097342,0.613399,0.398237,0.975843,0.112071,0.529452,0.349834,0.148134,0.616818,0.401935,0.147620,0.548901,0.374954,0.097437,0.613419,0.398232,-0.253622,0.545504,-0.111346
3,0.025000,0.401032,0.161905,0.893718,0.119285,0.126286,0.577139,0.381192,0.000187,0.112042,0.529441,0.349794,0.985521,0.148249,0.616631,0.401815,0.945286,0.147649,0.549130,0.375081,0.936405,0.097356,0.613407,0.398230,0.980725,0.112076,0.529461,0.349836,0.148166,0.616815,0.401901,0.147622,0.548911,0.374956,0.097432,0.613423,0.398227,-0.253613,0.545502,-0.111348
4,0.033333,0.401058,0.161886,0.893713,0.119261,0.126279,0.577132,0.381194,0.000187,0.112035,0.529435,0.349794,0.985521,0.148243,0.616624,0.401819,0.945286,0.147643,0.549125,0.375080,0.936405,0.097350,0.613399,0.398235,0.980725,0.112067,0.529454,0.349835,0.148161,0.616810,0.401905,0.147615,0.548906,0.374956,0.097427,0.613412,0.398232,-0.253631,0.545498,-0.111351
5,0.041667,0.400967,0.161787,0.893774,0.119241,0.126263,0.577125,0.381204,0.000201,0.112025,0.529434,0.349792,0.986150,0.148222,0.616612,0.401841,0.944581,0.147627,0.549118,0.375090,0.936839,0.097329,0.613388,0.398246,0.980336,0.112057,0.529442,0.349836,0.148123,0.616809,0.401941,0.147602,0.548890,0.374950,0.097422,0.613412,0.398242,-0.253648,0.545496,-0.111375
