Format Version,1.23,Take Name,cam-calib-6,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-07 04.43.43.397 PM,Capture Start Frame,417941,Total Frames in Take,34,Total Exported Frames,34,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,"Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4",Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker4,Kinect_cam:Marker4,Kinect_cam:Marker4,Unlabeled 1460,Unlabeled 1460,Unlabeled 1460,Unlabeled 1461,Unlabeled 1461,Unlabeled 1461
,ID,"4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","E3F90","E3F90","E3F90","E42C0","E42C0","E42C0","E3B80","E3B80","E3B80","E4270","E4270","E4270","E31A0","E31A0","E31A0","E49C0","E49C0","E49C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.761630,0.122143,-0.635953,-0.023778,-0.099975,0.509226,-0.281771,0.000175,-0.060780,0.475889,-0.253199,0.941202,-0.138744,0.536920,-0.295817,0.972297,-0.107778,0.481487,-0.260608,0.963326,-0.092809,0.542587,-0.317524,0.966814,-0.060975,0.475956,-0.253314,-0.138814,0.536845,-0.295775,-0.107644,0.481510,-0.260551,-0.092678,0.542574,-0.317509,-0.414319,-0.002034,-0.164744,-0.284610,0.441600,-0.479501
1,0.008333,0.761567,0.122228,-0.636012,-0.023753,-0.099976,0.509232,-0.281772,0.000168,-0.060771,0.475901,-0.253208,0.941202,-0.138753,0.536921,-0.295810,0.972297,-0.107771,0.481491,-0.260609,0.963326,-0.092822,0.542597,-0.317524,0.966814,-0.060968,0.475957,-0.253313,-0.138804,0.536843,-0.295772,-0.107634,0.481511,-0.260548,-0.092711,0.542599,-0.317518,-0.414326,-0.002029,-0.164758,-0.284609,0.441599,-0.479501
2,0.016667,0.761477,0.122210,-0.636126,-0.023706,-0.099982,0.509218,-0.281774,0.000160,-0.060767,0.475893,-0.253217,0.943722,-0.138765,0.536903,-0.295804,0.978522,-0.107769,0.481479,-0.260605,0.961661,-0.092840,0.542580,-0.317532,0.977693,-0.060965,0.475944,-0.253312,-0.138797,0.536830,-0.295772,-0.107628,0.481495,-0.260547,-0.092751,0.542586,-0.317527,-0.414192,-0.002128,-0.164666,-0.284617,0.441599,-0.479508
3,0.025000,0.761515,0.122111,-0.636098,-0.023710,-0.099977,0.509204,-0.281778,0.000165,-0.060770,0.475876,-0.253214,0.942243,-0.138753,0.536893,-0.295815,0.976820,-0.107770,0.481469,-0.260607,0.962794,-0.092826,0.542560,-0.317539,0.973231,-0.060966,0.475937,-0.253319,-0.138800,0.536822,-0.295779,-0.107633,0.481488,-0.260553,-0.092721,0.542551,-0.317524,-0.414170,-0.001954,-0.164686,-0.284627,0.441602,-0.479515
4,0.033333,0.761528,0.122096,-0.636086,-0.023716,-0.099984,0.509207,-0.281780,0.000168,-0.060779,0.475878,-0.253214,0.942243,-0.138759,0.536898,-0.295818,0.976820,-0.107779,0.481472,-0.260609,0.962794,-0.092831,0.542563,-0.317541,0.973231,-0.060977,0.475939,-0.253321,-0.138810,0.536826,-0.295782,-0.107640,0.481492,-0.260554,-0.092722,0.542553,-0.317525,-0.414185,-0.001942,-0.164713,-0.284620,0.441595,-0.479509
5,0.041667,0.761561,0.122087,-0.636048,-0.023725,-0.099983,0.509210,-0.281781,0.000171,-0.060782,0.475878,-0.253212,0.941763,-0.138756,0.536902,-0.295823,0.976350,-0.107781,0.481475,-0.260611,0.962242,-0.092825,0.542565,-0.317541,0.972355,-0.060978,0.475942,-0.253321,-0.138814,0.536830,-0.295784,-0.107643,0.481495,-0.260557,-0.092708,0.542552,-0.317525,-0.414195,-0.001914,-0.164729,-0.284611,0.441592,-0.479509
6,0.050000,0.761532,0.122096,-0.636081,-0.023713,-0.099992,0.509200,-0.281784,0.000166,-0.060787,0.475871,-0.253218,0.942386,-0.138767,0.536891,-0.295823,0.976128,-0.107787,0.481465,-0.260613,0.963020,-0.092839,0.542556,-0.317545,0.972320,-0.060982,0.475932,-0.253324,-0.138817,0.536819,-0.295786,-0.107651,0.481486,-0.260559,-0.092730,0.542546,-0.317530,-0.414457,-0.002218,-0.165037,-0.284618,0.441594,-0.479512
