Format Version,1.23,Take Name,calib_005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-09 11.42.48.874 PM,Capture Start Frame,250721,Total Frames in Take,46,Total Exported Frames,46,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,"Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4",Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker4,Kinect_cam:Marker4,Kinect_cam:Marker4
,ID,"4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","DE040","DE040","DE040","DE030","DE030","DE030","DDF60","DDF60","DDF60","DE010","DE010","DE010"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.595048,0.056227,0.800037,0.051937,-0.373417,0.486630,-0.267939,0.000404,-0.332855,0.447802,-0.251272,0.964134,-0.407712,0.522143,-0.271002,0.855631,-0.375190,0.465960,-0.239015,0.936788,-0.378201,0.510653,-0.310585,0.903546,-0.332817,0.447895,-0.251169,-0.407249,0.521806,-0.270929,-0.375442,0.465981,-0.239000,-0.378450,0.510876,-0.310777
1,0.008333,-0.594996,0.055911,0.800098,0.051925,-0.373396,0.486596,-0.267911,0.000465,-0.332816,0.447776,-0.251269,0.964134,-0.407705,0.522096,-0.270952,0.855631,-0.375158,0.465910,-0.238998,0.936788,-0.378195,0.510638,-0.310545,0.903546,-0.332815,0.447898,-0.251168,-0.407173,0.521656,-0.270823,-0.375443,0.465986,-0.239001,-0.378444,0.510881,-0.310773
2,0.016667,-0.594810,0.056508,0.800151,0.052599,-0.373420,0.486564,-0.267903,0.000461,-0.332905,0.447673,-0.251270,0.963071,-0.407667,0.522126,-0.270936,0.827413,-0.375209,0.465885,-0.238986,0.936766,-0.378191,0.510610,-0.310538,0.890677,-0.332928,0.447753,-0.251147,-0.407166,0.521666,-0.270819,-0.375439,0.465990,-0.238995,-0.378439,0.510885,-0.310770
3,0.025000,-0.594918,0.056751,0.800053,0.052602,-0.373433,0.486601,-0.267920,0.000399,-0.332934,0.447705,-0.251260,0.966977,-0.407668,0.522172,-0.270977,0.858563,-0.375236,0.465934,-0.238996,0.948912,-0.378186,0.510631,-0.310566,0.899435,-0.332923,0.447755,-0.251139,-0.407237,0.521811,-0.270914,-0.375432,0.465991,-0.238988,-0.378431,0.510885,-0.310759
4,0.033333,-0.594614,0.056594,0.800278,0.052786,-0.373411,0.486580,-0.267867,0.000454,-0.332905,0.447670,-0.251257,0.966977,-0.407645,0.522156,-0.270881,0.858563,-0.375196,0.465898,-0.238952,0.948912,-0.378192,0.510633,-0.310497,0.899435,-0.332925,0.447766,-0.251125,-0.407139,0.521708,-0.270738,-0.375436,0.465991,-0.238980,-0.378437,0.510892,-0.310745
5,0.041667,-0.594622,0.056590,0.800271,0.052807,-0.373415,0.486583,-0.267863,0.000453,-0.332909,0.447671,-0.251253,0.959011,-0.407647,0.522160,-0.270877,0.827423,-0.375200,0.465900,-0.238949,0.935290,-0.378193,0.510637,-0.310493,0.891416,-0.332930,0.447768,-0.251120,-0.407141,0.521714,-0.270733,-0.375439,0.465991,-0.238978,-0.378439,0.510895,-0.310741
