Format Version,1.23,Take Name,calib_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-21 06.34.26.657 PM,Capture Start Frame,170620,Total Frames in Take,31,Total Exported Frames,31,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","C9690","C9690","C9690","C9700","C9700","C9700","C9620","C9620","C9620","C96C0","C96C0","C96C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.105927,-0.269316,-0.005079,-0.957195,0.157288,0.626714,0.391692,0.000317,0.169831,0.595554,0.379427,0.925874,0.189913,0.663685,0.394014,0.921723,0.124669,0.579581,0.377649,0.915344,0.144739,0.668037,0.415680,0.912224,0.169842,0.595277,0.379321,0.190134,0.663906,0.394017,0.124682,0.579881,0.377805,0.144493,0.667792,0.415627
1,0.008333,0.106676,-0.268334,-0.005034,-0.957388,0.157265,0.626681,0.391654,0.000316,0.169850,0.595510,0.379458,0.932556,0.189866,0.663672,0.393989,0.912854,0.124699,0.579511,0.377611,0.920713,0.144647,0.668031,0.415558,0.907784,0.169837,0.595274,0.379327,0.190120,0.663908,0.394027,0.124703,0.579773,0.377791,0.144402,0.667769,0.415472
2,0.016667,0.105792,-0.269616,-0.005402,-0.957124,0.157291,0.626693,0.391713,0.000301,0.169841,0.595544,0.379427,0.932556,0.189899,0.663678,0.394028,0.912854,0.124685,0.579550,0.377672,0.920713,0.144738,0.668000,0.415726,0.907784,0.169827,0.595278,0.379333,0.190114,0.663909,0.394035,0.124693,0.579774,0.377793,0.144529,0.667810,0.415693
3,0.025000,0.106024,-0.269259,-0.005343,-0.957199,0.157279,0.626693,0.391698,0.000310,0.169841,0.595539,0.379435,0.929607,0.189883,0.663683,0.394020,0.917904,0.124688,0.579541,0.377654,0.931129,0.144706,0.668010,0.415683,0.921882,0.169829,0.595278,0.379329,0.190113,0.663916,0.394033,0.124695,0.579779,0.377793,0.144479,0.667799,0.415637
4,0.033333,0.106569,-0.268376,-0.004793,-0.957389,0.157265,0.626709,0.391652,0.000325,0.169832,0.595532,0.379453,0.929607,0.189885,0.663683,0.393989,0.917904,0.124673,0.579557,0.377607,0.931129,0.144669,0.668064,0.415560,0.921882,0.169843,0.595273,0.379318,0.190127,0.663910,0.394020,0.124682,0.579880,0.377804,0.144406,0.667773,0.415467
5,0.041667,0.106576,-0.268365,-0.004784,-0.957392,0.157268,0.626709,0.391647,0.000323,0.169835,0.595532,0.379448,0.927706,0.189889,0.663682,0.393984,0.916970,0.124676,0.579557,0.377601,0.906058,0.144672,0.668064,0.415553,0.899715,0.169845,0.595275,0.379315,0.190131,0.663908,0.394013,0.124686,0.579878,0.377797,0.144411,0.667774,0.415461
