Format Version,1.23,Take Name,calib_desktop_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 08.00.23.801 PM,Capture Start Frame,168407,Total Frames in Take,37,Total Exported Frames,37,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","CBA90","CBA90","CBA90","CB9C0","CB9C0","CB9C0","CBA70","CBA70","CBA70","CBAA0","CBAA0","CBAA0","CBBD0","CBBD0","CBBD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.047506,0.640159,-0.058669,-0.764524,-0.647626,0.586017,-0.073987,0.000126,-0.630166,0.559473,-0.057504,0.919632,-0.673905,0.616002,-0.044789,0.938522,-0.607774,0.550795,-0.098633,0.941255,-0.678427,0.617860,-0.095055,0.955777,-0.630453,0.559362,-0.057411,-0.673680,0.616077,-0.044722,-0.607589,0.550922,-0.098703,-0.678549,0.617769,-0.095145,,,
1,0.008333,-0.047528,0.640193,-0.058653,-0.764496,-0.647627,0.586016,-0.073991,0.000126,-0.630168,0.559471,-0.057508,0.919107,-0.673908,0.615998,-0.044794,0.937871,-0.607773,0.550795,-0.098636,0.940920,-0.678426,0.617860,-0.095060,0.955486,-0.630458,0.559359,-0.057419,-0.673681,0.616075,-0.044726,-0.607586,0.550923,-0.098704,-0.678549,0.617767,-0.095149,,,
2,0.016667,-0.047513,0.640187,-0.058641,-0.764503,-0.647626,0.586019,-0.073996,0.000127,-0.630167,0.559473,-0.057513,0.919107,-0.673905,0.616002,-0.044798,0.937871,-0.607773,0.550797,-0.098641,0.940920,-0.678424,0.617864,-0.095065,0.955486,-0.630459,0.559358,-0.057421,-0.673677,0.616081,-0.044730,-0.607584,0.550926,-0.098711,-0.678549,0.617771,-0.095156,,,
3,0.025000,-0.047522,0.640186,-0.058643,-0.764503,-0.647621,0.586016,-0.073999,0.000125,-0.630162,0.559470,-0.057517,0.919035,-0.673900,0.615999,-0.044801,0.937699,-0.607768,0.550794,-0.098645,0.940800,-0.678419,0.617861,-0.095068,0.955229,-0.630451,0.559357,-0.057427,-0.673674,0.616077,-0.044733,-0.607581,0.550924,-0.098713,-0.678543,0.617768,-0.095158,,,
4,0.033333,-0.047528,0.640202,-0.058633,-0.764490,-0.647624,0.586010,-0.073999,0.000125,-0.630166,0.559464,-0.057517,0.919035,-0.673904,0.615992,-0.044801,0.937699,-0.607770,0.550789,-0.098644,0.940800,-0.678421,0.617855,-0.095068,0.955229,-0.630457,0.559350,-0.057425,-0.673676,0.616069,-0.044735,-0.607583,0.550919,-0.098713,-0.678545,0.617762,-0.095157,0.019298,0.005640,-0.192476
5,0.041667,-0.047484,0.640219,-0.058742,-0.764470,-0.647635,0.586017,-0.074006,0.000121,-0.630175,0.559476,-0.057518,0.921166,-0.673921,0.616002,-0.044817,0.941145,-0.607775,0.550795,-0.098642,0.940760,-0.678434,0.617854,-0.095084,0.957510,-0.630452,0.559353,-0.057430,-0.673716,0.616098,-0.044751,-0.607587,0.550916,-0.098718,-0.678551,0.617759,-0.095163,,,
6,0.050000,-0.047495,0.640261,-0.058699,-0.764437,-0.647636,0.586020,-0.074008,0.000122,-0.630179,0.559476,-0.057520,0.921166,-0.673923,0.616004,-0.044819,0.941145,-0.607776,0.550798,-0.098642,0.940760,-0.678431,0.617861,-0.095086,0.957510,-0.630457,0.559352,-0.057428,-0.673717,0.616100,-0.044756,-0.607586,0.550920,-0.098720,-0.678549,0.617766,-0.095163,,,
7,0.058333,-0.047476,0.640240,-0.058697,-0.764456,-0.647630,0.586023,-0.074003,0.000122,-0.630173,0.559480,-0.057515,0.920307,-0.673915,0.616009,-0.044813,0.940714,-0.607772,0.550799,-0.098638,0.940102,-0.678426,0.617864,-0.095081,0.957262,-0.630452,0.559355,-0.057425,-0.673709,0.616107,-0.044748,-0.607582,0.550923,-0.098716,-0.678543,0.617768,-0.095159,,,
8,0.066667,-0.047512,0.640287,-0.058682,-0.764416,-0.647635,0.586019,-0.073996,0.000122,-0.630179,0.559474,-0.057508,0.920307,-0.673924,0.616001,-0.044807,0.940714,-0.607773,0.550798,-0.098629,0.940102,-0.678429,0.617861,-0.095074,0.957262,-0.630459,0.559350,-0.057417,-0.673716,0.616098,-0.044741,-0.607583,0.550922,-0.098707,-0.678546,0.617764,-0.095154,,,
9,0.075000,-0.047499,0.640261,-0.058690,-0.764438,-0.647634,0.586023,-0.073992,0.000123,-0.630177,0.559480,-0.057504,0.920419,-0.673921,0.616007,-0.044802,0.940963,-0.607774,0.550802,-0.098627,0.940182,-0.678429,0.617865,-0.095070,0.957568,-0.630457,0.559359,-0.057415,-0.673715,0.616104,-0.044737,-0.607583,0.550923,-0.098705,-0.678545,0.617768,-0.095147,,,
10,0.083333,-0.047503,0.640258,-0.058701,-0.764439,-0.647626,0.586027,-0.073989,0.000123,-0.630169,0.559484,-0.057501,0.920419,-0.673914,0.616010,-0.044799,0.940963,-0.607766,0.550806,-0.098624,0.940182,-0.678423,0.617868,-0.095067,0.957568,-0.630447,0.559364,-0.057410,-0.673708,0.616104,-0.044734,-0.607577,0.550926,-0.098702,-0.678539,0.617773,-0.095145,,,
11,0.091667,-0.047503,0.640272,-0.058704,-0.764428,-0.647626,0.586025,-0.073988,0.000121,-0.630169,0.559482,-0.057499,0.921067,-0.673914,0.616009,-0.044799,0.941493,-0.607764,0.550804,-0.098621,0.940685,-0.678421,0.617866,-0.095067,0.958059,-0.630447,0.559362,-0.057411,-0.673710,0.616104,-0.044736,-0.607575,0.550925,-0.098697,-0.678537,0.617770,-0.095141,,,
12,0.100000,-0.047505,0.640158,-0.058670,-0.764526,-0.647616,0.586020,-0.073984,0.000126,-0.630156,0.559476,-0.057502,0.921067,-0.673894,0.616004,-0.044787,0.941493,-0.607764,0.550798,-0.098631,0.940685,-0.678417,0.617863,-0.095053,0.958059,-0.630443,0.559362,-0.057411,-0.673668,0.616080,-0.044721,-0.607578,0.550925,-0.098698,-0.678542,0.617773,-0.095143,,,
