Format Version,1.23,Take Name,calib_desktop_021,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 08.13.11.668 PM,Capture Start Frame,260550,Total Frames in Take,38,Total Exported Frames,38,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1107,Unlabeled 1107,Unlabeled 1107
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","DDDA0","DDDA0","DDDA0","DDB00","DDB00","DDB00","DDDF0","DDDF0","DDDF0","DDB10","DDB10","DDB10","DE160","DE160","DE160","DE3A0","DE3A0","DE3A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.070415,-0.425976,0.175438,0.884764,-0.551961,0.294062,0.264504,0.000181,-0.523194,0.274636,0.273236,0.984878,-0.569124,0.324263,0.299653,0.978083,-0.519788,0.262009,0.227440,0.960534,-0.595566,0.315432,0.257540,0.947017,-0.523193,0.274651,0.273177,-0.569201,0.324255,0.299612,-0.519910,0.262074,0.227517,-0.595368,0.315360,0.257564,-0.615591,0.245213,0.436732,-0.621907,0.254033,0.313637
1,0.008333,0.070445,-0.426009,0.175264,0.884780,-0.551966,0.294064,0.264491,0.000197,-0.523205,0.274628,0.273219,0.984878,-0.569120,0.324262,0.299646,0.978083,-0.519801,0.262009,0.227421,0.960534,-0.595564,0.315448,0.257531,0.947017,-0.523236,0.274646,0.273124,-0.569191,0.324262,0.299613,-0.519906,0.262074,0.227519,-0.595357,0.315365,0.257561,-0.615571,0.245221,0.436743,,,
2,0.016667,0.070390,-0.425951,0.175457,0.884775,-0.551953,0.294064,0.264509,0.000180,-0.523186,0.274639,0.273240,0.985304,-0.569115,0.324267,0.299656,0.978590,-0.519781,0.262009,0.227446,0.960167,-0.595558,0.315434,0.257545,0.947183,-0.523184,0.274654,0.273184,-0.569190,0.324259,0.299616,-0.519905,0.262075,0.227522,-0.595361,0.315361,0.257566,-0.616135,0.245611,0.436691,,,
3,0.025000,0.070400,-0.425967,0.175453,0.884767,-0.551957,0.294064,0.264510,0.000179,-0.523190,0.274638,0.273242,0.985738,-0.569121,0.324265,0.299658,0.978815,-0.519784,0.262009,0.227447,0.960419,-0.595562,0.315433,0.257546,0.947757,-0.523188,0.274651,0.273187,-0.569195,0.324259,0.299618,-0.519907,0.262076,0.227522,-0.595368,0.315360,0.257567,-0.616144,0.245609,0.436689,-0.620487,0.258172,0.314644
4,0.033333,0.070391,-0.425982,0.175442,0.884762,-0.551961,0.294062,0.264509,0.000182,-0.523195,0.274636,0.273242,0.985738,-0.569124,0.324264,0.299656,0.978815,-0.519787,0.262006,0.227447,0.960419,-0.595565,0.315432,0.257543,0.947757,-0.523193,0.274648,0.273183,-0.569200,0.324258,0.299616,-0.519911,0.262074,0.227524,-0.595368,0.315358,0.257564,-0.615600,0.245221,0.436727,-0.620765,0.257973,0.314456
5,0.041667,0.070451,-0.425943,0.175367,0.884791,-0.551961,0.294058,0.264499,0.000193,-0.523195,0.274628,0.273226,0.984974,-0.569117,0.324257,0.299653,0.978550,-0.519795,0.262006,0.227428,0.959859,-0.595564,0.315434,0.257542,0.947012,-0.523195,0.274632,0.273140,-0.569198,0.324258,0.299617,-0.519911,0.262074,0.227524,-0.595368,0.315360,0.257568,-0.615594,0.245214,0.436732,-0.620462,0.257564,0.314230
