Format Version,1.23,Take Name,calib_desktop_025,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 08.15.39.916 PM,Capture Start Frame,278340,Total Frames in Take,40,Total Exported Frames,40,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1125,Unlabeled 1125,Unlabeled 1125,Unlabeled 1126,Unlabeled 1126,Unlabeled 1126,Unlabeled 1127,Unlabeled 1127,Unlabeled 1127
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","DF6B0","DF6B0","DF6B0","DF290","DF290","DF290","DF190","DF190","DF190","DF2C0","DF2C0","DF2C0","DF730","DF730","DF730","DF760","DF760","DF760","DF790","DF790","DF790"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.132632,-0.037046,0.135675,0.981136,-0.160934,0.470871,0.450480,0.000070,-0.134823,0.451532,0.435469,0.977868,-0.147096,0.501302,0.486875,0.979288,-0.165929,0.438588,0.401807,0.982139,-0.195880,0.492154,0.477543,0.979065,-0.134874,0.451479,0.435518,-0.147138,0.501334,0.486811,-0.165904,0.438655,0.401806,-0.195812,0.492107,0.477558,-0.075040,0.412700,0.627910,0.024701,0.002474,-0.187412,-0.131620,0.409734,0.423702
1,0.008333,0.132624,-0.037047,0.135645,0.981142,-0.160943,0.470861,0.450478,0.000070,-0.134833,0.451520,0.435467,0.977868,-0.147102,0.501292,0.486873,0.979288,-0.165940,0.438577,0.401806,0.982139,-0.195887,0.492146,0.477541,0.979065,-0.134884,0.451468,0.435519,-0.147144,0.501324,0.486807,-0.165915,0.438644,0.401803,-0.195819,0.492100,0.477558,-0.075042,0.412699,0.627909,0.023835,0.002256,-0.186709,,,
2,0.016667,0.132610,-0.037056,0.135642,0.981144,-0.160947,0.470856,0.450475,0.000071,-0.134837,0.451514,0.435465,0.977347,-0.147107,0.501287,0.486869,0.979189,-0.165943,0.438570,0.401803,0.982037,-0.195891,0.492142,0.477537,0.978861,-0.134891,0.451461,0.435515,-0.147148,0.501320,0.486804,-0.165917,0.438637,0.401801,-0.195823,0.492095,0.477553,-0.075042,0.412700,0.627911,0.024696,0.002479,-0.187409,,,
3,0.025000,0.132635,-0.037046,0.135655,0.981139,-0.160942,0.470856,0.450476,0.000070,-0.134832,0.451516,0.435465,0.978351,-0.147103,0.501286,0.486871,0.979880,-0.165939,0.438573,0.401803,0.982379,-0.195887,0.492140,0.477540,0.979473,-0.134884,0.451465,0.435512,-0.147143,0.501317,0.486809,-0.165913,0.438639,0.401804,-0.195820,0.492094,0.477554,-0.074981,0.412593,0.627972,0.024454,0.002524,-0.187130,,,
4,0.033333,0.132630,-0.037063,0.135648,0.981140,-0.160936,0.470867,0.450475,0.000071,-0.134825,0.451526,0.435464,0.978351,-0.147097,0.501297,0.486870,0.979880,-0.165931,0.438584,0.401801,0.982379,-0.195881,0.492151,0.477537,0.979473,-0.134877,0.451474,0.435513,-0.147137,0.501328,0.486806,-0.165906,0.438651,0.401803,-0.195814,0.492104,0.477551,-0.074985,0.412596,0.627976,0.023832,0.002253,-0.186719,-0.131668,0.409756,0.423693
5,0.041667,0.132620,-0.037053,0.135664,0.981139,-0.160933,0.470871,0.450482,0.000073,-0.134822,0.451531,0.435472,0.977995,-0.147095,0.501302,0.486876,0.979515,-0.165928,0.438587,0.401809,0.981958,-0.195878,0.492155,0.477544,0.979207,-0.134876,0.451478,0.435521,-0.147136,0.501334,0.486812,-0.165902,0.438655,0.401811,-0.195810,0.492106,0.477557,-0.075046,0.412700,0.627915,,,,,,
